A40002,2024-05-31 00:23:23.467916
A40001,2024-05-31 00:23:23.467916
A40004,2024-05-31 00:23:23.467916
A40003,2024-05-31 00:23:23.467916
A40002,2024-06-31 00:23:23.467916
A40001,2024-06-31 00:23:23.467916
A40004,2024-06-31 00:23:23.467916
A40003,2024-06-31 00:23:23.467916
A40002,2024-07-31 00:23:23.467916
A40001,2024-07-31 00:23:23.467916
A40004,2024-08-31 00:23:23.467916
A40003,2024-08-31 00:23:23.467916
A40002,2024-09-31 00:23:23.467916
A40001,2024-09-31 00:23:23.467916
A40004,2024-09-31 00:23:23.467916
A40003,2024-09-31 00:23:23.467916